一日(いちにち),一天
二日(ふつか),两天
三日(みっか),三天
四日(よっか),四天
五日(いつか),五天
六日(むいか),六天
七日(なのか),七天
八日(ようか),八天
九日(ここのか),九天
十日(とおか),十天
十四日(じゅうよっか),十四天
十七日(じゅうしちにち),十七天
十九日(じゅうくにち),十九天
二十日(はつか),二十天
二十四日(にじゅうよっか),二十四天
二十七日(にじゅうしちにち),二十七天
二十九日(にじゅうくにち),二十九天
