一(いち),一
二(に),二
三(さん),三
四(し/よん),四
五(ご),五
六(ろく),六
七(しち/なな),七
八(はち),八
九(きゅう/く),九
十(じゅう),十
百(ひゃく),百
三百(さんびゃく),三百
六百(ろっぴゃく),六百
八百(はっぴゃく),八百
千(せん),千
万(まん),万

一人(ひとり),一个人
二人(ふたり),两个人
三人(さんにん),三个人
四人(よにん),四个人
五人(ごにん),五个人
六人(ろくにん),六个人
七人(しちにん),七个人
八人(はちにん),八个人
九人(きゅうにん),九个人
十人(じゅうにん),十个人

二十歳(はたち),二十岁

一本(いっぽん),一根



