科学(かがく),科学
数学(すうがく),数学
物理学(ぶつりがく),物理学
化学(かがく),化学
生物学(せいぶつがく),生物学
農科(のうか),农学
地学(ちがく),地学
地理学(ちりがく),地理学
天文学(てんもんがく),天文学

英語(えいご),英语
歴史(れきし),历史

進化(しんか),进化
