植物(しょくぶつ),植物
野菜(やさい),蔬菜
青菜(あおな),青菜
白菜(はくさい),白菜
山菜(さんさい),野菜（山中的可食用植物）
人参(にんじん),胡萝卜
松(まつ),松树
根(ね),根
茎(くき),茎
葉(は),叶
花(はな),花
雄蕊(おしべ),雄蕊
雌蕊(めしべ),雌蕊
果実(かじつ),果实
桜(さくら),樱花
染井吉野(そめいよしの),染井吉野樱
枝垂れ桜(しだれざくら),垂枝樱
八重桜(やえざくら),八重樱
梅(うめ),梅

動物(どうぶつ),动物
昆虫(こんちゅう),昆虫
蟻(あり),蚂蚁
蝉(せみ),蝉
蛙(かえる),青蛙
蝸牛(かたつむり),蜗牛
蜻蛉(とんぼ),蜻蜓
蛾(が),蛾
蟋蟀(こおろぎ),蟋蟀
蝙蝠(こうもり),蝙蝠
みみず,蚯蚓
魚(さかな),鱼
蝶々(ちょうちょ),蝴蝶
猫(ねこ),猫
犬(いぬ),狗
熊(くま),熊
魚類(ぎょるい),鱼类
爬虫類(はちゅうるい),爬行动物
哺乳類(ほにゅうるい),哺乳动物


