元素(げんそ),元素
金属元素(きんぞくげんそ),金属元素
非金属元素(ひきんぞくげんそ),非金属元素
原子(げんし),原子
水素(すいそ),氢元素
ヘリウム(へりうむ),氦元素
炭素(たんそ),碳元素
窒素(ちっそ),氮元素
酸素(さんそ),氧元素
フッ素(ふっそ),氟元素
鉄(てつ),铁元素
銅(どう),铜元素
亜鉛(あえん),锌元素
銀(ぎん),银元素
金(きん),金元素
一酸化炭素(いっさんかたんそ),一氧化碳
二酸化炭素(にさんかたんそ),二氧化碳

酸化還元反応(さんかかんげんはんのう),氧化还原反应
酸化(さんか),氧化
還元(かんげん),还原
酸化剤(さんかざい),氧化剂
還元剤(かんげんざい),还原剂A
