場所(ばしょ),地点;场所
出入り口(でいりぐち),出入口
出口(でぐち),出口
入り口(いりぐち),入口

川(かわ),河川
湖(みずうみ),湖
海(うみ),海
海岸(かいがん),海岸

山(やま),山
島(しま),岛屿
崎(さき),岬

建物(たてもの),建筑物
マンション,高级公寓
アパート,普通公寓
コンサート,音乐会
病院(びょういん),医院
映画館(えいがかん),电影院
美術館(びじゅつかん),美术馆
博物館(はくぶつかん),博物馆
空港(くうこう),机场
トイレ,厕所
レストラン,餐厅
ホテル,酒店


